 * Running on http://0.0.0.0:24816/ (Press CTRL+C to quit)
72.24.211.109 - - [17/Apr/2016 05:26:45] "GET / HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:45] "GET /static/imgs/portrait.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:45] "GET /static/imgs/Felt%20Transition%20Dress%203.jpg HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:45] "GET /static/imgs/Felt%20Transition%20Dress.jpg HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:45] "GET /static/imgs/Felt%20Transition%20Dress%202.jpg HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:45] "GET /static/imgs/The%20Whole%20-%20Clear.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:45] "GET /static/imgs/The%20View.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:46] "GET /static/imgs/The%20Back.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:46] "GET /static/imgs/The%20Tree.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:46] "GET /static/imgs/The%20Phoenix.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:46] "GET /static/imgs/The%20Castle.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:46] "GET /static/imgs/Landscape.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:47] "GET /static/imgs/Lady%20-%20Da%20Vinci%20Copy.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:47] "GET /static/imgs/Lady%20-%20Sargent%20Copy.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:47] "GET /static/imgs/Man%20-%20Sargent%20Copy.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:47] "GET /static/imgs/Man%20-%20Sargent%20Copy%202.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:47] "GET /static/imgs/Lady%20-%20Copy.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:47] "GET /static/imgs/Lying%202.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:47] "GET /static/imgs/Sitting.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:48] "GET /static/imgs/Broom.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:48] "GET /static/imgs/Back.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:48] "GET /static/imgs/Back%202.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:48] "GET /static/imgs/Head.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:26:48] "GET /static/imgs/Standing.JPG HTTP/1.1" 200 -
72.24.211.109 - - [17/Apr/2016 05:28:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:25] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:25] "GET /static/all.css?fd7aa9d6 HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:25] "GET /static/imgs/WP_20150222_004%201.jpg HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:26] "GET /static/imgs/leaffinal.jpg HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:26] "GET /static/fonts/candela_bold_macroman/CandelaBold-webfont.woff HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:26] "GET /static/imgs/leaf4.png HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:26] "GET /static/fonts/candela_book_macroman/CandelaBook-webfont.woff HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:26] "GET /static/imgs/leaf1.png HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:26] "GET /static/imgs/leaf2.png HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:26] "GET /static/imgs/leaf3.png HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:26] "GET /static/imgs/leafsketch.png HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:27] "GET /static/imgs/leaforginalsketch.png HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:29] "GET /static/imgs/bugle2.png HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:29] "GET /static/imgs/wineglass.png HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:30] "GET /static/imgs/bugle.png HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:30] "GET /static/imgs/sword.png HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:30] "GET /static/imgs/shark.png HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:30] "GET /static/imgs/Castle.jpg HTTP/1.0" 200 -
