 * Running on http://0.0.0.0:3579/ (Press CTRL+C to quit)
127.0.0.1 - - [17/Apr/2016 05:18:51] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:19:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:19:21] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:19:24] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:19:32] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:19:36] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:19:43] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:19:51] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:20:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:20:21] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:20:43] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:20:51] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:21:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:22:43] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:22:51] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:23:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:23:21] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:23:43] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:26:35] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:26:43] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:26:51] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:27:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:27:21] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:27:43] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:27:51] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:27:54] "GET / HTTP/1.0" 200 -
72.24.211.109 - - [17/Apr/2016 05:27:58] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2016 05:28:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:28:21] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:28:43] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:28:51] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:29:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:29:21] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:29:43] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:29:51] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:30:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:30:21] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:30:43] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:30:51] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:20] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:21] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:23] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:43] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:51] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:32:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:32:21] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:32:43] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:32:51] "GET / HTTP/1.0" 200 -
